Audio Block Index,Header Name,Header Index,Header Position
0,Wh_Neo_Land_Swtnr01,1731,16320
0,WH_Leg_St_Md1,1099,58560
0,WH_Leg_St_Md3,1101,59072
0,WH_Leg_St_Md4,1102,59392
0,WH_Leg_St_Md5,1103,59712
0,WH_Leg_St_Md6,1104,59968
0,WH_Leg_St_Md7,1105,60224
0,WH_Leg_St_Md8,1106,60544
0,WH_Leg_St_Md9,1107,60864
0,WH_Leg_St_Md10,1108,61184
0,WH_Leg_Rn_Md1,1129,64768
0,WH_Leg_Rn_Md3,1131,65408
0,WH_Leg_Rn_Md4,1132,65792
0,WH_Leg_Rn_Md4,1132,65792
0,WH_Leg_Rn_Md5,1133,66176
0,WH_Leg_Rn_Md6,1134,66560
0,WH_Leg_Rn_Md7,1135,66944
0,WH_Leg_Rn_Md8,1136,67264
0,WH_Leg_Rn_Md9,1137,67584
0,WH_Leg_Rn_Md10,1138,67904
0,WH_Leg_Rn_Md11,1139,68224
0,WH_Leg_Rn_Md11,1139,68224
0,cam_target_switch,1742,110016
0,Wh_Neo_Land_Swtnr02,1763,110336
0,par_b10_trashbag1,2246,218112
0,agent_posses4,15641,465280
0,obj_stn_wd_lrg_hvy3,1944,494784
0,obj_stn_wd_lrg_md4,1950,496960
0,par_b10_outerbldg3,1939,499392
0,par_b10_outerbldg4,1940,499648
0,par_b10_outerbldg5,1941,499904
0,par_b10_trashbag2,2247,509120
0,par_b10_trashbag3,2660,509440
0,par_b5_acunit1,6839,671168
0,par_b7_ch_bench_mtl2,7430,753600
0,par_b7_ch_bench_mtl2,7430,753600
0,par_b9_th1_window3,6093,858752
0,par_cmtpillar_wh1,2657,863360
0,par_cmtpillar_wh2,2658,863616
0,par_b5_agentlanding,3655,2102016
0,obj_trashbag_lrg_lt3,2689,2117824
0,obj_smallworkbench_md3,2756,2135872
0,obj_mtl_barrel_md1,3309,2209664
0,obj_mtl_barrel_md2,3310,2210048
0,obj_mtl_barrel_md3,3311,2210432
0,Boulder_Wh_Hd1,12383,2284288
0,Boulder_Wh_Hd2,12384,2284544
0,Boulder_Wh_Hd3,12385,2284800
0,Boulder_Wh_Hd4,12386,2285056
0,WH_Fly_Charge05,16238,2418432
0,WH_Fly_Evade04,16222,2419776
0,WH_Fly_Move05,16232,2422208
0,Wh_Neo_Land_Swtnr03,1764,2441472
0,Wh_Neo_Land_Swtnr04,1765,2441984
0,Wh_Neo_Land_Swtnr05,1766,2442496
0,Wh_Neo_Land_Swtnr06,1767,2443008
1,par_AgentRock_B,8499,246016
1,par_b7_loft_collapse2,4427,291648
1,par_phonebooth2,1726,713728
1,par_phonebooth3,1727,714432
1,par_AgentRock_F,3417,808000
1,par_CmtPillarLrg2,1759,864576
1,par_CmtPillarMed1,1753,866624
1,par_CmtPillarMed3,1755,867264
1,par_CmtPillarMed4,1756,867584
1,par_CmtPillarMed5,1757,867904
1,par_CmtPillarSml1,1748,868288
1,par_CmtPillarSml2,1749,869120
1,par_CmtPillarSml3,1750,870016
1,par_CmtPillarSml4,1751,870912
1,par_CmtPillarSml5,1752,871744
1,par_CmtPillarSml5,1752,871744
2,par_b11_ecb_bigcrux1,6202,83904
2,par_b11_ecb_neonkru1,6223,86400
2,par_b11_ecb_platedge1,6226,88384
2,par_b12_ts_corner1,7194,91840
2,par_b12_Sen_MezDst1,16196,104320
2,par_b6_kiosk_wall1,3563,208064
2,par_b6_ts_squarepillarC01_1,6048,208960
2,Par_B7_Wall_Destruct01,3724,218944
2,par_b7_ch_walldamage1,6887,236096
2,par_b8_thtre_booth1,3575,242688
2,par_b8_sew_cornerdst1,3138,243840
2,par_AgentRock_B,8499,246016
2,par_AgentRock_B,8499,246016
2,par_b7_loft_collapse2,4427,291648
2,par_b7_loft_collapse2,4427,291648
2,par_b11_ecb_capitala1,6217,513216
2,par_b11_ecb_neonkru3,6225,515904
2,par_b11_ecb_bigcrux3,6204,518016
2,par_b12_Sen_MezDst3,16198,560000
2,par_b2_ledge_break2,8747,599680
2,PAR_B5_LedgeDstr05,6706,698752
2,par_b6_kiosk_wall4,3566,713408
2,par_b7_ch_coatpillar_lower1,7419,743296
2,par_b7_ch_walldamage4,6890,756160
2,par_AgentRock_C,8500,807552
2,par_AgentRock_F,3417,808000
2,par_CmtPillarLrg1,1758,864064
2,par_CmtPillarLrg2,1759,864576
2,par_CmtPillarLrg2,1759,864576
2,par_CmtPillarLrg3,1760,865088
2,par_CmtPillarMed1,1753,866624
2,par_CmtPillarMed2,1754,866944
2,par_CmtPillarMed3,1755,867264
2,par_CmtPillarSml1,1748,868288
2,par_CmtPillarSml2,1749,869120
2,par_CmtPillarSml2,1749,869120
2,par_CmtPillarSml3,1750,870016
2,par_CmtPillarSml3,1750,870016
2,par_CmtPillarSml4,1751,870912
2,Wh_Neo_Land_Swtnr03,1764,2441472
3,par_b10_sandbox1,1958,72960
3,par_b10_ground1,2727,75392
3,par_b10_bldg_damage1,2858,75968
3,par_b10_payphone1,7014,76608
3,par_b11_ecb_bigcrux1,6202,83904
3,par_b11_ecb_neonkru1,6223,86400
3,par_b12_Sen_MezDst1,16196,104320
3,par_b13_ct_splashtest1,8697,106816
3,par_b13_crater_impacta,8716,107136
3,par_b13_crater_impactg,8742,107776
3,par_b13_ms_bldg_b,6903,121216
3,par_b13_ms_bldg_b,6903,121216
3,par_b13_ms_bldg_d,6905,122368
3,par_wood_pillar_md1,12387,153600
3,par_b5_rooftopdoor,3651,189312
3,par_AgentRock_A,8498,245504
3,par_AgentRock_B,8499,246016
3,par_AgentRock_E,8502,246848
3,par_b7_loft_collapse2,4427,291648
3,par_b7_loft_collapse1,4426,292160
3,obj_bf_torso_hy2,2326,417984
3,obj_bf_torso_md2,2322,419712
3,obj_stn_wd_lrg_hvy3,1944,494784
3,obj_stn_wd_lrg_hvy4,1945,495040
3,par_b10_outerbldg3,1939,499392
3,par_b10_ground3,2729,500416
3,par_b10_payphone2,7015,504128
