Audio Block Index,Header Name,Header Index,Header Position
1940,UI_Alert_Box_Appear,2810,0
1941,UI_CursorA,3018,128
1942,UI_Alert_Box_Close,3019,256
1971,UI_Main_Back,3038,384
1938,UI_Main_Back,3038,384
1972,UI_Main_Confirm,3039,576
1931,UI_Weapon_Select,3293,704
7057,UI_Weapon_Deny,15618,832
1939,UI_Weapon_Deny,15618,832
7058,UI_CursorB,15619,1024
1779,par_detpk_expl1,15381,1152
6713,par_detpk_expl1,15381,1152
6714,par_detpk_expl1,15381,1152
6715,par_detpk_expl1,15381,1152
6175,Detpack_Place,16249,1344
311,Detpack_Place,16249,1344
268,Detpack_Place,16249,1344
7559,Detpack_Place,16249,1344
1997,Detpack_Place,16249,1344
1988,Detpack_Place,16249,1344
23,Detpack_Pullout,16250,1728
2024,obj_grenade_hy1,3273,1856
2025,obj_grenade_hy1,3273,1856
2026,obj_grenade_hy1,3273,1856
2027,obj_grenade_hy1,3273,1856
6174,Foly_Gernade_Pullpin1,8537,2048
2049,Foly_Gernade_Pullpin1,8537,2048
2037,Foly_Gernade_Pullpin1,8537,2048
18,Foly_Gernade_Throw1,8541,2240
7,Foly_Gernade_Throw1,8541,2240
1778,par_expl_flashbang1,15663,2432
1150,par_expl_flashbang1,15663,2432
1781,par_expl_flashbang1,15663,2432
6307,par_expl_flashbang1,15663,2432
13480,par_expl_flashbang1,15663,2432
1078,par_expl_flashbang1,15663,2432
1907,par_expl_flashbang1,15663,2432
13478,par_expl_grndlnchr1,13528,2752
13479,par_expl_grndlnchr1,13528,2752
6789,par_expl_teargas1,15415,2944
6790,par_expl_teargas1,15415,2944
5188,gn_deseagle_shot01,795,3072
1294,obj_agentpistol_hy1,2404,3200
1293,obj_agentpistol_hy1,2404,3200
1291,obj_agentpistol_md1,2407,3328
1295,obj_agentpistol_md1,2407,3328
1303,obj_agentpistol_md1,2407,3328
1299,obj_agentpistol_lt1,2410,3520
1302,obj_agentpistol_lt1,2410,3520
5191,gn_deseagle_shot_neo_foc01,2825,3712
6722,gun_b5_gatling_fire01,6683,3840
6880,gun_b5_gatling_mach_loop,6696,3968
6881,gun_b5_gatling_mach_loop,6696,3968
6882,gun_b5_gatling_mach_loop,6696,3968
6883,gun_b5_gatling_trig_on,6697,4160
6884,gun_b5_gatling_trig_off,6698,4288
6795,gun_gatling_fire_focus1,15418,4416
6855,gn_gatling_charge1,15502,4544
6856,gn_gatling_charge1,15502,4544
7151,gn_m16_shot_neo01,486,4672
1290,obj_m16_hy1,2368,4800
1292,obj_m16_hy1,2368,4800
1301,obj_m16_md1,2371,4992
1306,obj_m16_lt1,2374,5184
1307,obj_m16_lt1,2374,5184
7154,gn_m16_shot_neo_foc01,2991,5376
1901,gn_smg_shot_neo01,2806,6016
1905,gn_smg_shot_neo_foc01,2978,6144
4891,gn_pistol_foc_shot1,7458,6784
4888,gn_pistol_shot01,9597,6912
6243,gn_shotgun_shot_neo01,2833,7616
6246,gn_shotgun_foc_shot1,9603,7744
83,HH_BLK_Am_LT1,895,7872
90,HH_BLK_Am_MD1,900,8000
91,HH_BLK_Am_MD1,900,8000
96,HH_BLK_Am_HD1,905,8128
92,HH_BLK_Am_HD1,905,8128
97,HH_BLK_Am_HD1,905,8128
101,HH_BLK_Le_LT1,910,8320
102,HH_BLK_Le_LT1,910,8320
106,HH_BLK_Le_MD1,915,8448
107,HH_BLK_Le_MD1,915,8448
103,HH_BLK_Hn_LT1,925,8704
110,HH_BLK_Hn_MD1,930,8832
111,HH_BLK_Hn_MD1,930,8832
115,HH_Pun1He_LT1,940,8960
116,HH_Pun1He_LT1,940,8960
117,HH_Pun1He_LT1,940,8960
129,HH_Pun1He_MD1,945,9152
128,HH_Pun1He_MD1,945,9152
130,HH_Pun1He_MD1,945,9152
131,HH_Pun1He_MD1,945,9152
132,HH_Pun1He_MD1,945,9152
123,HH_Pun1He_HD1,950,9408
136,HH_Pun1He_HD1,950,9408
137,HH_Pun1He_HD1,950,9408
134,HH_Pun1He_SP1,955,9664
138,HH_Pun1He_SP1,955,9664
144,HH_Pun1He_SP1,955,9664
139,HH_Pun1He_SP1,955,9664
145,HH_Pun1He_SP1,955,9664
151,HH_Pun1Sd_LT1,960,9920
152,HH_Pun1Sd_LT1,960,9920
153,HH_Pun1Sd_LT1,960,9920
118,HH_Pun1Sd_MD1,965,10112
156,HH_Pun1Sd_MD1,965,10112
157,HH_Pun1Sd_MD1,965,10112
158,HH_Pun1Sd_MD1,965,10112
146,HH_Pun1Sd_HD1,970,10304
162,HH_Pun1Sd_HD1,970,10304
163,HH_Pun1Sd_HD1,970,10304
149,HH_Pun1Sd_SP1,975,10560
165,HH_Pun1Sd_SP1,975,10560
166,HH_Pun1Sd_SP1,975,10560
164,HH_Pun1Sd_SP1,975,10560
172,HH_Pun1St_MD1,985,10944
167,HH_Pun1St_SP1,995,11392
178,HH_Pun1Le_MD1,1005,11712
143,HH_Pun1Le_SP1,1015,12160
179,HH_Pun1Le_SP1,1015,12160
177,HH_Pun1Le_SP1,1015,12160
174,HH_KicHe_LT1,1020,12416
124,HH_KicHe_LT1,1020,12416
169,HH_KicHe_LT1,1020,12416
125,HH_KicHe_LT1,1020,12416
150,HH_KicHe_MD1,1023,12672
121,HH_KicHe_MD1,1023,12672
142,HH_KicHe_HD1,1026,12928
154,HH_KicSd_Lt1,1032,13440
160,HH_KicSd_MD1,1035,13632
159,HH_KicSd_MD1,1035,13632
127,HH_KicSt_LT1,1044,14400
170,HH_KicSt_LT1,1044,14400
171,HH_KicSt_LT1,1044,14400
141,HH_KicSt_HD1,1050,14848
147,HH_KicSt_SP1,1053,15104
176,HH_KicLe_MD1,1059,15552
119,HH_KicLe_MD1,1059,15552
155,HH_KicLe_MD1,1059,15552
180,HH_KicLe_SP1,1065,16064
77,Wh_Neo_Land_Swtnr01,1731,16320
1741,Wh_Neo_Land_Swtnr01,1731,16320
6509,Wh_Neo_Land_Swtnr01,1731,16320
4385,Wh_Neo_Land_Swtnr01,1731,16320
0,Wh_Neo_Land_Swtnr01,1731,16320
2820,Wh_Neo_Land_Swtnr01,1731,16320
2802,Wh_Neo_Land_Swtnr01,1731,16320
49,Wh_Neo_Land_Swtnr01,1731,16320
2796,Wh_Neo_Land_Swtnr01,1731,16320
44,Wh_Neo_Land_Swtnr01,1731,16320
599,Wh_Neo_Land_Swtnr01,1731,16320
8775,HH_Thunder_Hit_Swtnr01,2209,16832
8788,HH_Thunder_Hit_Swtnr01,2209,16832
8789,HH_Thunder_Hit_Swtnr01,2209,16832
8790,HH_Thunder_Hit_Swtnr01,2209,16832
8791,HH_Thunder_Hit_Swtnr01,2209,16832
8792,HH_Thunder_Hit_Swtnr01,2209,16832
8793,HH_Thunder_Hit_Swtnr01,2209,16832
8794,HH_Thunder_Hit_Swtnr01,2209,16832
8795,HH_Thunder_Hit_Swtnr01,2209,16832
8755,Wh_Jello_Swtnr01,6296,17216
8756,Wh_Jello_Swtnr01,6296,17216
8757,Wh_Jello_Swtnr01,6296,17216
8758,Wh_Jello_Swtnr01,6296,17216
8759,Wh_Jello_Swtnr01,6296,17216
8760,Wh_Jello_Swtnr01,6296,17216
6530,HH_neck_break1,14510,18624
7568,power_up,15627,18752
7652,UI_Pickup_Health,3189,19456
7555,pickup_focus,16244,19584
1134,Hatchet_Wh_Hd1,11047,19712
4287,Hatchet_Wh_Hd1,11047,19712
4851,Hatchet_Wh_Hd1,11047,19712
4285,Hatchet_Imp_Slice_Lt01,11086,20288
8535,Hatchet_Imp_Slice_Lt01,11086,20288
435,Hatchet_Imp_Slice_Lt01,11086,20288
1136,Hatchet_Imp_Slice_Md01,11770,20480
8526,Hatchet_Imp_Slice_Md01,11770,20480
1144,Hatchet_Imp_Slice_Hd01,11784,20736
1143,Hatchet_Imp_Slice_Hd01,11784,20736
8763,Hatchet_Imp_Slice_Hd01,11784,20736
1137,Hatchet_Imp_Slice_Hd01,11784,20736
1141,Hatchet_Imp_Slice_Hd01,11784,20736
432,Hatchet_Imp_Slice_Hd01,11784,20736
7818,Hatchet_out01,11798,21120
5287,Hatchet_out01,11798,21120
5283,Hatchet_out01,11798,21120
1916,Hatchet_in01,11801,21312
1230,Hatchet_Imp_Hd01,11803,21504
1059,Hatchet_Imp_Hd01,11803,21504
5295,Hatchet_Imp_Hd01,11803,21504
7810,Hatchet_Imp_Hd01,11803,21504
5289,Hatchet_Imp_Hd01,11803,21504
7820,Hatchet_Imp_Lt01,11833,21760
5290,Hatchet_Imp_Lt01,11833,21760
6532,Burly_Wh_Hd6,14517,21952
6547,Burly_Wh_Hd6,14517,21952
6543,Burly_Wh_Hd6,14517,21952
6566,Burly_Wh_Hd6,14517,21952
6534,Burly_Wh_Hd6,14517,21952
6535,Burly_Wh_Md1,14518,22208
6536,Burly_Wh_Md1,14518,22208
6533,Burly_Wh_Md1,14518,22208
6544,Burly_Wh_Lt3,14526,22464
6545,Burly_Wh_Lt3,14526,22464
6542,Burly_Wh_Lt3,14526,22464
8748,Burly_Imp_Slice_Lt01,14582,22656
6571,Burly_Imp_Slice_Lt01,14582,22656
6572,Burly_Imp_Slice_Lt01,14582,22656
6583,Burly_Imp_Slice_Hd01,14600,23040
6574,Burly_Imp_Slice_Hd01,14600,23040
6584,Burly_Imp_Slice_Hd01,14600,23040
6576,Burly_out01,14613,23360
6585,Burly_out01,14613,23360
6564,Burly_out01,14613,23360
104,Burly_Imp_Md01,15262,23808
6573,Burly_Imp_Md01,15262,23808
6579,Burly_Imp_Hd01,15271,24000
68,Staff_Wh_Hd1,7491,24256
4853,Staff_Wh_Hd1,7491,24256
5279,Staff_Wh_Hd1,7491,24256
5280,Staff_Wh_Hd1,7491,24256
4855,Staff_Wh_Lt1,7503,24704
5296,Staff_Obj_Imp_Hd01,7532,25856
7824,Staff_Obj_Imp_Md01,7539,26048
1052,Broad_out01,7305,28032
1154,Broad_in01,7308,28288
1917,Broad_in01,7308,28288
4286,Broad_in01,7308,28288
1055,Broad_Imp_Hd01,7311,28480
1740,Broad_Imp_Lt01,7323,28672
1060,Spear_Wh_Md1,8608,29120
6510,Coke_Imp_Hd1,14494,31552
6515,Coke_Imp_Hd1,14494,31552
6516,Coke_Imp_Hd1,14494,31552
2868,Coke_Imp_Hd1,14494,31552
6517,Coke_Imp_Hd1,14494,31552
6520,Coke_Obj_Imp_Md1,14500,32128
6523,Coke_Obj_Imp_Lt1,14503,32256
1045,Katana_Wh_Hd1,2763,32384
1050,Katana_Wh_Hd1,2763,32384
1051,Katana_Wh_Hd1,2763,32384
1135,Katana_Imp_Slice_Md01,2897,33344
1139,katana_in01,2988,34560
58,Girder_Wh_Hd1,16265,34752
4288,Girder_Wh_Hd1,16265,34752
1818,Girder_Imp_Slice_Lt01,16286,35328
1482,Girder_Imp_Slice_Md01,16291,35456
2128,gun_grndlnchr_neo_fire1,2836,36288
13052,gun_grndlnchr_neo_fire1,2836,36288
13053,gun_grndlnchr_neo_fire1,2836,36288
13058,gun_grndlnchr_neo_fire1,2836,36288
13057,gun_grndlnchr_neo_fire1,2836,36288
6483,Hotdog_Imp_Hd1,14482,36544
6484,Hotdog_Imp_Hd1,14482,36544
1057,Kama_Wh_Md1,10517,37120
4283,Kama_Out1,10543,37504
4858,Longsword_Wh_Hd1,7328,38208
4859,Longsword_Imp_Slice_Lt01,7349,38912
4860,Longsword_Imp_Slice_Md01,7360,39104
4281,Mace_Wh_Hd1,8544,40512
4282,Mace_Wh_Hd1,8544,40512
6537,Burly_Wh_Hd1,14512,43200
6567,Burly_Wh_Lt1,14524,43456
6485,Popcorn_Imp_Hd1,14488,43648
6486,Popcorn_Imp_Hd1,14488,43648
6487,Popcorn_Imp_Hd1,14488,43648
6488,Popcorn_Imp_Hd1,14488,43648
2887,Popcorn_Imp_Hd1,14488,43648
6489,Popcorn_Imp_Hd1,14488,43648
7561,obj_plastic_riotshield_lt2,16253,44224
7563,obj_plastic_riotshield_md1,16255,44352
7564,obj_plastic_riotshield_md1,16255,44352
7565,obj_plastic_riotshield_hy1,16258,44480
1472,obj_Imp_riotshield1,16261,44672
7567,obj_Imp_riotshield1,16261,44672
1328,G_HlstrRifle,1381,44928
1348,G_HlstrRifle,1381,44928
1325,G_HlstrRifle,1381,44928
1339,G_HlstrRifle,1381,44928
1323,G_HlstrRifle,1381,44928
1333,G_HlstrRifle,1381,44928
681,G_DrawRifle,1389,45248
1334,G_DrawRifle,1389,45248
1335,G_DrawRifle,1389,45248
1346,G_DrawRifle,1389,45248
683,G_DrawRifle,1389,45248
1338,G_DrawRifle,1389,45248
1331,G_DrawRifle,1389,45248
1354,G_DrawRifle,1389,45248
65,par_b12_ts_tvthrown1st1,9210,45632
2676,par_b12_ts_tvthrown1st1,9210,45632
6304,par_b12_ts_tvthrown1st1,9210,45632
1437,par_b12_ts_tvthrown1st1,9210,45632
1769,par_b12_ts_tvthrown1st1,9210,45632
1072,par_b12_ts_tvthrown1st1,9210,45632
1237,par_b12_ts_tvthrown1st1,9210,45632
1280,par_b12_ts_tvthrown1st1,9210,45632
1274,par_b12_ts_tvthrown1st1,9210,45632
6317,par_b12_ts_tvthrown1st1,9210,45632
6323,par_b12_ts_tvthrown1st1,9210,45632
6318,par_b12_ts_tvthrown1st1,9210,45632
6324,par_b12_ts_tvthrown1st1,9210,45632
8193,par_b12_ts_tvthrown1st1,9210,45632
1935,UI_Redpill_Cursor,15692,50432
7137,UI_Redpill_Cursor,15692,50432
4401,UI_Redpill_Cursor,15692,50432
56,WH_StJmp_A1,780,50624
17,WH_StJmp_A1,780,50624
16,WH_StJmp_A1,780,50624
29,WH_StJmp_A1,780,50624
31,WH_StJmp_A2,781,50880
26,WH_StJmp_A2,781,50880
21,WH_StJmp_A3,782,51136
64,WH_StJmp_B2,784,51392
52,WH_StJmp_B2,784,51392
41,WH_StJmp_B3,785,51776
24,WH_StJmp_B3,785,51776
15,WH_WlJmp_A3,788,52672
57,WH_WlJmp_B1,789,52928
43,WH_WlJmp_B1,789,52928
70,WH_WlJmp_B1,789,52928
66,WH_WlJmp_B2,790,53312
69,WH_WlJmp_C2,793,54336
50,WH_WlJmp_C3,794,54656
33,WH_Flip_1A,1084,54976
5,WH_Flip_1A,1084,54976
6,WH_Flip_1B,1085,55168
8,WH_Arm_Db_Lt1,1086,55360
9,WH_Arm_Db_Lt1,1086,55360
10,WH_Arm_Db_Lt1,1086,55360
11,WH_Arm_Db_Md1,1087,55616
12,WH_Arm_Db_Md1,1087,55616
13,WH_Arm_Db_Md1,1087,55616
14,WH_Arm_Db_Md1,1087,55616
19,WH_Leg_St_Lt1,1090,56448
20,WH_Leg_St_Lt1,1090,56448
25,WH_Leg_St_Lt2,1091,56704
27,WH_Leg_St_Lt3,1092,56960
22,WH_Leg_St_Lt3,1092,56960
28,WH_Leg_St_Lt4,1093,57216
34,WH_Leg_St_Md1,1099,58560
35,WH_Leg_St_Md1,1099,58560
36,WH_Leg_St_Md2,1100,58816
37,WH_Leg_St_Md3,1101,59072
38,WH_Leg_St_Md3,1101,59072
48,WH_Leg_St_Md4,1102,59392
39,WH_Leg_St_Md4,1102,59392
40,WH_Leg_St_Md5,1103,59712
30,WH_Leg_St_Md7,1105,60224
59,WH_Leg_St_Md9,1107,60864
42,WH_Leg_St_Hd1,1109,61504
45,WH_Leg_St_Hd1,1109,61504
46,WH_Leg_St_Hd1,1109,61504
62,WH_Arm_St_Hd1,1169,69760
47,WH_Arm_St_Hd1,1169,69760
55,WH_Arm_St_Hd1,1169,69760
63,WH_Arm_St_Hd1,1169,69760
51,WH_Arm_Rn_Hd1,1193,70592
7683,UI_RPG_Intro_Beg,12416,70976
787,Neo_Mini_Powerbubble1,15487,71104
8983,Neo_Mini_Powerbubble1,15487,71104
1796,Neo_Mini_Powerbubble1,15487,71104
1943,Neo_Mini_Powerbubble1,15487,71104
6832,Neo_Mini_Powerbubble1,15487,71104
1148,Neo_Mini_Powerbubble1,15487,71104
8787,Neo_Mini_Powerbubble1,15487,71104
1451,Neo_Mini_Powerbubble1,15487,71104
6903,UI_RPG_Amb_Loop,15517,71488
7059,UI_CursorC,15620,71616
7135,UI_RPG_ZoomOut1,15682,71744
7136,UI_RPG_ZoomOut1,15682,71744
8431,UI_RPG_ZoomOut1,15682,71744
2825,UI_RPG_ZoomOut1,15682,71744
1954,UI_RPG_ZoomOut1,15682,71744
8435,UI_RPG_ZoomIn1,15683,72064
1951,UI_RPG_ZoomIn1,15683,72064
7147,UI_RPG_Expanse_Amb,15693,72320
7149,UI_RPG_Flash_Back,15694,72448
7350,UI_RPG_Intro,16021,72576
1932,UI_Main_Select1,3013,72704
1933,UI_Main_Select1,3013,72704
1934,UI_Main_Select1,3013,72704
538,par_b10_sandbox1,1958,72960
3,par_b10_sandbox1,1958,72960
3227,par_b10_sandbox1,1958,72960
2728,par_b10_sandbox1,1958,72960
540,par_b10_sandbox1,1958,72960
2805,par_b10_sandbox1,1958,72960
5072,par_b10_sandbox1,1958,72960
2716,par_b10_sandbox1,1958,72960
2719,par_b10_sandbox1,1958,72960
168,par_b10_mtl_railing1,1973,73344
1764,par_b10_mtl_railing1,1973,73344
542,par_b10_mtl_railing1,1973,73344
543,par_b10_mtl_railing1,1973,73344
3221,par_b10_outbuilding_cllpse,1984,73600
549,par_b10_outbuilding_cllpse,1984,73600
3222,par_b10_outbuilding_cllpse,1984,73600
3260,par_b10_outbuilding_cllpse,1984,73600
3254,par_b10_outbuilding_cllpse,1984,73600
3223,par_b10_outbuilding_cllpse,1984,73600
3258,par_b10_outbuilding_cllpse,1984,73600
2710,par_b10_outbuilding_cllpse,1984,73600
3253,par_b10_outbuilding_cllpse,1984,73600
2725,par_b10_outbuilding_cllpse,1984,73600
1823,par_b10_swingset,2245,73984
1279,par_b10_swingset,2245,73984
4811,par_b10_swingset,2245,73984
950,par_b10_swingset,2245,73984
